keyword,year,month
Kolmogorov-Smirnov,2014,April
Sparse Representation,2012,March
Sparse Representation,2012,May
dot carrier relaxation,2014,April
Couplers,2015,February
develop flooding attack prevention,2011,
develop flooding attack prevention,2012,
test environment 1,2013,
ongoing non,2015,August
notification,2012,December
virtual agents,2015,September
Antenna diversity,2012,01
Antenna diversity,2012,July
diasporas,2012,
diasporas,2011,August
to,2016,March
numerical experiments complete,2013,April
novel approach toward extracting,2013,05
contrôle du point de vue 3D,2015,October
randomly gather hosted files,2014,February
Markov chains,2012,06
Markov chains,2012,July
art adaptive index tuning,2015,September
SNR,2012,07
Index Terms—heterogeneous networks,2015,June
Gaussian Markov processes,2011,June
characteristic,2011,May
Publish/subscribe,2012,January
Publish/subscribe,2011,November
Publish/subscribe,2012,June
Publish/subscribe,2011,November
Hidden Markov fields,2013,June
constrained movements,2011,October
constrained movements,2014,October
General Terms: Experimentation,2011,04
distributed design,2008,February
distributed design,2012,February
Variable length Markov chains,2011,11
Optical-code division multiple access,2014,February
configuring base stations,2015,September
digital pen,2011,September
probe,2013,August
UML,2012,November
UML,2011,June
UML,2013,October
UML,2013,August
UML,2011,September
UML,2012,February
UML,2012,September
UML,2011,October
UML,2011,March
UML,2012,January
UML,2010,02
UML,2013,02
of,2013,May
Simplicity,2011,July
Théorie des graphes,2011,October
voting theory,2013,June
voting theory,2013,06
Index Terms— SAR image,2014,
additive white gaussian noise,2014,10
additive white gaussian noise,2012,
Stochastic approximation,2016,01
Stochastic approximation,2016,October
Stochastic approximation,2015,01
Stochastic approximation,2015,October
Stochastic approximation,2012,
adaptive importance sampling strategies,2015,01
IEEE802.1x/EAP Protocol,2013,July
étudiants,2015,May
effective medium material model,2003,10
hardware security,2015,December
triggers backchannel signals according,2012,July
triggers backchannel signals according,2012,07
Architecture,2011,December
Architecture,2011,August
Architecture,2015,October
Architecture,2015,September
two classical sample estimators,2015,09
squared error behavior,2016,February
frequency selective since,2015,October
quantum telecommunication technologies rely,1886,
finite carrier capture,2012,07
empirical risk minimization,2016,06
empirical risk minimization,2014,02
Profile centric modeling,2014,October
adaptive streaming,2011,June
error,2014,June
error,2016,March
Index Terms—Exponentially damped sinusoids,2013,04
Index Terms—Bit allocation,2014,01
simplicial complexes calledčechcalledˇcalledčech complex,2011,
Hausdorff,2015,July
Hausdorff,2016,March
Télédétection,2014,
index terms — beta,2011,01
index terms — beta,2011,February
Graph theory,2015,01
Graph theory,2015,January
Graph theory,2013,April
Graph theory,2014,January
Graph theory,2015,09
Graph theory,2016,
systems following traditional methodologies,2012,
magnetic resonance images,2011,
standard alternating direction method,2013,December
self-management,2013,June
multimodal communication,2014,August
RF receiver,2014,December
RF receiver,2013,
general hidden markov model,2013,10
Sound Source Separation,2016,March
Model Averaging,2014,May
Index Terms—Elasticity,2014,01
relative phase offsets of partials,2014,May
action selection,2012,July
action selection,2012,07
Random,2013,April
enables faster data navigation,2014,01
number fields,2012,02
Index Terms— infrared surveillance,2013,06
Index Terms— infrared surveillance,2013,January
Index Terms— infrared surveillance,2012,06
Index Terms— infrared surveillance,2012,January
compatible dual complexes exist,2013,
Dual-EML,2014,June
complement macro base stations,2016,May
Dual-Electroabsorption Modulated Laser (D-EML),2014,11
solve two problems related,2014,01
solve two problems related,2014,September
poumons,2011,July
watchband,2013,April
watchband,2012,May
cell,2014,01
syn- chronization,2014,12
syn- chronization,2014,July
syn- chronization,2013,12
syn- chronization,2013,July
matching score,2015,September
Lasers,2013,December
H28 [Database Management]: Database Applications,2011,March
Pragmatics,2011,
Shannon&apos;s formula,2014,August
Index Terms—Equalization,2013,May
Checking,2010,02
Checking,2013,02
multi-image processing,2015,March
commercial system,2016,March
wall-sized display,2016,April
wall-sized display,2016,
Menu techniques,2012,October
load balancing ...) based,2012,June
messagerie instantanée,2011,October
decentralised control and self-organisation,2011,April
quadtree construction process,2014,09
audio upmixing,2013,May
aug-,2010,03
Frequency modulation,2013,December
Frequency modulation,2012,July
behavioral  automata,2011,January
genetic algorithms,2012,October
mpeg issued,2015,
traditional level set methods,2011,12
hidden Markov models,2012,March
hidden Markov models,2015,September
hidden Markov models,2015,February
high gate reliability,2013,June
machine learning,2011,May
machine learning,2015,October
machine learning,2013,
machine learning,2015,01
machine learning,2015,January
machine learning,2013,
communauté épistémique,2012,September
ultra wide band,2011,August
ultra wide band,2012,April
imaginaire,2011,
trade-off function,2011,
injection locking,2014,February
mitigation,2014,February
— recent studies show,2015,May
Opponent channels,2016,03
Opponent channels,2016,February
Opponent channels,2015,03
Opponent channels,2015,February
task oriented interaction,2015,August
Next generation networks JEL Codes: L96,2013,
— detecting hardware trojans,2013,August
marché,2011,November
Modeling,2013,June
Modeling,2011,May
Index Terms—All-optical packet switching,2014,01
Index Terms—All-optical packet switching,2014,August
proximal tools,2015,July
copyright c 2xxx aeit,2012,October
tree-like structures,2011,May
relay election process,2011,December
discourse genres,2011,
risque technologique,2012,
local stochastic approximation step,2014,September
3D perception,2013,October
3D perception,2014,June
3D perception,2014,October
past hj periods,2014,
JPEG compression,2013,01
JPEG compression,2013,February
exhibit high proximity,2015,May
Backward Compatibility,2012,August
triple modular redundancy approach,2013,October
graph kernel,2015,June
60G18,2011,03
60G18,2012,03
TPE,2013,
feedback arc set,2013,June
feedback arc set,2013,06
Formal Proof,2013,09
Formal Proof,2013,September
Formal Proof,2013,February
Formal Proof,2012,09
Formal Proof,2012,September
Formal Proof,2012,February
Activité de conception,2012,September
1pb video data ).,2012,March
clock recovery,2012,May
sociologie,2011,
particle filter,2012,July
particle filter,2012,July
particle filter,2011,December
particle filter,2012,05
Index Terms—optical burst switching,2013,April
Voxel grids,2012,September
fast rates,2014,02
Covariance matrix,2012,April
average reception quality obtained,2012,April
Side information,2013,10
Side information,2013,October
Side information,2013,10
large knowledge bases,2014,November
large knowledge bases,2014,November
Biometrics,2011,June
using tree automata,2015,June
free indirect lighting method,2013,06
potentially expressive features,2011,December
SysML,2013,September
SysML,2015,February
SysML,2016,
SysML,2011,June
SysML,2014,May
SysML,2016,
SysML,2012,February
SysML,2013,June
SysML,2011,May
SysML,2011,October
SysML,2011,September
central limit theorem,2013,11
formal collection,2014,September
Emotions,2011,June
Emotions,2014,
Emotions,2015,August
biological imaging,2013,November
biological imaging,2013,09
touch-screen,2011,
65K10,2011,
octree,2011,
E42,2011,07
Digital camera,2013,October
nested lattice codes,2013,
several test sequences,2014,
Hardware Trojan (HT),2016,09
CoSE,2013,May
CoSE,2014,October
CoSE,2014,April
CoSE,2014,June
CoSE,2013,November
CoSE,2014,January
tational Geometry and Object Modeling—Curve,2014,March
tational Geometry and Object Modeling—Curve,2014,01
embedded systems,2013,September
embedded systems,2014,April
embedded systems,2014,May
embedded systems,2011,June
MAP estimation,2015,October
Malware,2015,July
Malware,2014,October
Malware,2013,November
interest,2012,August
Conflict,2014,May
comme compter les résultats,2015,September
index terms — antennas,2003,10
Rayleigh scattering,2014,September
digitized printed historical documents,2007,04
band receiver,2010,
multicellular,2011,
traitement de la parole,2014,June
state-space models,2012,July
Brokering,2013,October
Brokering,2013,October
Broadcast,2015,July
véhicules,2012,November
distributed interaction,2015,12
distributed interaction,2015,October
distributed interaction,2015,August
réseaux de capteurs,2012,May
Discrete Hodge Star,2011,August
multimodal processing,2011,November
multibit decision,2015,June
Cramér--Rao bound,2011,01
Cramér--Rao bound,2011,January
Believability,2011,September
audio,2015,October
and virtual realities,2014,May
and virtual realities,2010,03
thus ensuring durability,2014,February
laser simulation,2014,February
multi-activité,2012,October
steps per waveform made,2011,June
comparaison de distributions,2015,
comparaison de distributions,2014,October
unbiased risk estimate,2011,
unbiased risk estimate,2012,06
monitoring,2011,July
dio signal representation,2011,10
dio signal representation,2011,October
new congestion control protocols,2013,December
unlicensed access,2014,11
self-control,2015,July
self-control,2014,August
dynamically shared among,2013,01
dynamically shared among,2013,January
facilitate designers like look,2013,11
lar electroencephalography channels,2014,March
lar electroencephalography channels,2014,01
mobile,2012,October
mobile,2014,November
mobile,2012,October
mobile,2012,December
mobile,2012,December
sector coordination,2013,May
two distribution aware algorithms,2016,April
quantified self,2013,April
"pmc ), wideband reflector",2014,03
affective computing research community,2011,
affective computing research community,2012,
rainer von sachs,2016,09
Source Separa- tion,2011,07
Source Separa- tion,2011,July
Network architecture,2012,
called octave stretching,2013,05
Ad hoc Network,2012,
boosting technique exploiting trees,2011,
Index Terms— Differential logic,2014,June
minimum mean-square error (MMSE),2011,January
TIC,2011,
